"Vertrouwen in mensen, recht en politiek; Europese vergelijking"
"";"";"Onderwerpen";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in"
"";"";"Onderwerpen";"Andere mensen";"Rechtssysteem";"Politie";"Politici";"Parlement";"Politieke partijen";"Europees Parlement";"Verenigde Naties"
"Persoonskenmerken";"Land";"Perioden";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore"
"Totaal personen";"Portugal";"2014*";"3.6";"3.7";"5.6";"2.0";"3.1";"2.2";"3.4";"4.6"
"Totaal personen";"Slovenië";"2002";"4.0";"4.3";"4.9";"3.1";"4.0";".";"4.6";"4.9"
"Totaal personen";"Slovenië";"2004";"6.1";"5.8";"6.5";"4.2";"5.4";"4.4";"4.0";"6.3"
"Totaal personen";"Slovenië";"2006";"4.1";"4.2";"5.0";"3.2";"4.2";"4.5";"4.7";"6.8"
"Totaal personen";"Slovenië";"2008";"4.3";"4.3";"5.0";"3.4";"4.4";"3.4";"4.8";"5.0"
"Totaal personen";"Slovenië";"2010";"3.9";"3.1";"5.0";"2.3";"3.0";"2.2";"3.7";"4.1"
"Totaal personen";"Slovenië";"2012";"4.6";"3.3";"5.3";"2.3";"3.0";"2.3";"3.8";"4.2"
"Totaal personen";"Slovenië";"2014*";"4.1";"3.1";"5.5";"1.9";"2.8";"2.0";"3.4";"4.2"
"Totaal personen";"Slowakije";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Slowakije";"2004";"4.1";"3.8";"4.7";"3.1";"4.1";"3.2";"4.5";"4.6"
"Totaal personen";"Slowakije";"2006";"4.3";"4.2";"4.7";"3.6";"4.2";"2.1";"4.8";"5.3"
"Totaal personen";"Slowakije";"2008";"4.1";"4.1";"4.8";"3.6";"4.0";"3.6";"5.2";"5.4"
"Totaal personen";"Slowakije";"2010";"4.5";"3.5";"4.5";"2.8";"3.2";"2.7";"4.4";"4.8"
"Totaal personen";"Slowakije";"2012";"3.8";"3.2";"4.1";"2.8";"3.1";"2.7";"3.7";"4.2"
"Totaal personen";"Slowakije";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Spanje";"2002";"4.9";"4.3";"5.4";"3.4";"4.8";".";"4.8";"4.7"
"Totaal personen";"Spanje";"2004";"4.9";"4.7";"5.9";"3.7";"5.1";"3.7";"5.1";"5.0"
"Totaal personen";"Spanje";"2006";"5.1";"5.0";"6.0";"3.5";"5.0";"2.5";"4.6";"4.9"
"Totaal personen";"Spanje";"2008";"4.9";"4.3";"6.1";"3.3";"5.0";"3.2";"5.0";"5.0"
